,date,time,code_call,code_put,price_call,price_put,delta_call,delta_put,d2e,k_x,timeleft,gamma,gamma_percentage,vega,theta,rho,iv,k0,r,code_x,cp,k_y,contract_unit,expire_date,atm,expiration_state,code_y,exchange,close
60,2020-01-02,0 days 14:55:00,10002091.SH,10002100.SH,0.1258,0.1717,0.4747,-0.5253,114.0,3.2,5.0,1.0847,0.0334,0.0084,-0.0009,0.0062,0.1746,0.0376,0.0492,10002091.SH,C,3.2,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
61,2020-01-02,0 days 14:55:00,10002103.SH,10002104.SH,0.0026,0.2136,0.0512,-0.9488,14.0,3.3,5.0,0.8524,0.0263,0.0008,-0.0005,0.0001,0.1671,0.0683,0.0389,10002103.SH,C,3.3,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
62,2020-01-02,0 days 14:55:00,10002105.SH,10002106.SH,0.0366,0.2224,0.2522,-0.7478,53.0,3.3,5.0,1.2631,0.0389,0.0046,-0.0009,0.0016,0.1763,0.0683,0.0473,10002105.SH,C,3.3,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
63,2020-01-02,0 days 14:55:00,10002107.SH,10002108.SH,0.0896,0.2363,0.3741,-0.6259,114.0,3.3,5.0,1.0252,0.0316,0.008,-0.0008,0.0049,0.1758,0.0683,0.0487,10002107.SH,C,3.3,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
64,2020-01-02,0 days 14:55:00,10002111.SH,10002112.SH,0.0013,0.3101,0.024,-0.976,14.0,3.4,5.0,0.3848,0.0119,0.0004,-0.0003,0.0,0.199,0.0982,0.0511,10002111.SH,C,3.4,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
65,2020-01-02,0 days 14:55:00,10002113.SH,10002114.SH,0.0219,0.307,0.1631,-0.8369,53.0,3.4,5.0,0.9335,0.0288,0.0035,-0.0007,0.001,0.1841,0.0982,0.0483,10002113.SH,C,3.4,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
66,2020-01-02,0 days 14:55:00,10002115.SH,10002116.SH,0.0629,0.3093,0.2869,-0.7131,114.0,3.4,5.0,0.9126,0.0281,0.0072,-0.0007,0.0038,0.1775,0.0982,0.0489,10002115.SH,C,3.4,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
67,2020-01-02,0 days 14:55:00,10002189.SH,10002198.SH,0.3047,0.0033,0.94,-0.06,33.0,2.8,5.0,0.5758,0.0177,0.0013,-0.0009,0.0035,0.1829,-0.096,0.0458,10002189.SH,C,2.8,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
68,2020-01-02,0 days 14:55:00,10002190.SH,10002199.SH,0.2563,0.0058,0.916,-0.084,33.0,2.85,5.0,0.8013,0.0247,0.0017,-0.0009,0.0035,0.1701,-0.0783,0.0436,10002190.SH,C,2.85,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
69,2020-01-02,0 days 14:55:00,10002191.SH,10002200.SH,0.2105,0.0102,0.875,-0.125,33.0,2.9,5.0,1.1225,0.0346,0.0023,-0.001,0.0034,0.1621,-0.0609,0.0432,10002191.SH,C,2.9,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
